Fecha,Alimentacion Fresca SAG16,MA2:3WI116R,TPD SAG 16,Tasa Desgaste SAG16,Consumo acero SAG16,Reposicion SAG16,Variacion de nivel SAG16,Nivel bolas estimada SAG16,Alimentacion Fresca SAG17,MA2:3WI216R,TPD SAG 17,Tasa Desgaste SAG17,Consumo acero SAG17,Reposicion SAG17,Variacion de nivel SAG17,Nivel bolas estimada SAG17
2021-03-08,30214.291283324183,192.5038888888889,30406.79517221307,275,8361.868672358594,0.0,-0.44009835117676815,15.039191001755146,49824.05306636863,596.1583834415012,50420.21144981013,328,16537.82935553772,0.0,-0.8704120713440906,10.83550131780508
2021-03-09,40102.20712067253,740.7258333333334,40842.93295400586,275,11231.806562351612,0.0,-0.5911477138079796,14.458764319745413,44182.90330943299,271.0460216946072,44453.9493311276,328,14580.895380609853,12500.0,-0.1095208095057817,10.730659618568554
2021-03-10,49429.4319237668,997.4330555555556,50426.86497932236,275,13867.387869313648,12500.0,-0.07196778259545518,14.40123306821721,32911.85869929876,2024.3263676404952,34936.18506693926,328,11459.068701956077,12500.0,0.05478585779178541,10.820391742075396
2021-03-11,13795.355977316956,391.2905555555556,14186.646532872512,275,3901.3277965399407,0.0,-0.2053330419231548,14.201563442229729,21604.879926512964,2811.614855606292,24416.494782119255,328,8008.610288535116,12500.0,0.23638893218236232,11.105318025449275
2021-03-12,34997.63502000587,3800.4538888888887,38798.08890889476,275,10669.47444994606,12500.0,0.09634345000283898,14.35291346167701,32367.95401868524,6278.694643633101,38646.64866231834,328,12676.100761240416,12500.0,-0.009268461117916606,11.204439661337236
2021-03-13,42627.38877702549,927.8047222222222,43555.19349924771,275,11977.67821229312,12500.0,0.027490620405625266,14.393832834641117,23685.461045405063,936.898109105428,24622.35915451049,328,8076.133802679441,12500.0,0.23283506301687154,11.453448544342876
2021-03-14,61104.88591354608,1761.3702777777778,62866.25619132386,275,17288.220452614063,12500.0,-0.25201160276916124,14.167314749050316,30903.916559961363,30.32578321668837,30934.24234317805,328,10146.4314885624,12500.0,0.12387202691776837,11.577844090044596
2021-03-15,34596.73949772106,853.8802777777778,35450.61977549883,275,9748.92043826218,12500.0,0.14479366114409584,14.324467203688563,19683.41603434992,623.5221510060628,20306.938185355983,328,6660.675724796763,0.0,-0.3505618802524612,11.238046171135815
2021-03-16,47546.39921018943,4126.503333333333,51672.90254352277,275,14210.048199468762,12500.0,-0.09000253681414534,14.294190373014768,25555.93679844357,7258.394020233154,32814.330818676724,328,10763.100508525966,12500.0,0.0914157627091597,11.454764735878475
2021-03-17,50120.13837666393,3406.110833333333,53526.24920999726,275,14719.718532749246,12500.0,-0.11682729119732875,13.5,25206.66736330837,2540.337337578668,27747.00470088704,328,9101.01754189095,12500.0,0.17889381358468687,12.0
